"paper_id","title","score","tier","topics","primary_project_use","text_status","notes"
"P001","光电效应测普朗克常数的数据处理及误差分析","7.6","supporting","T01;T05","mapping.js;physics.js;ExperimentReport.vue;教学讲解文案","pdf_text_extracted","光电效应测普朗克常数的数据处理及误差分析：支撑频率/波长、遏止电压、截止电压、逸出功或普朗克常量测定之间的关系建模。支撑实验误差、数据处理、仪器参数或光阑/距离等操作变量的报告说明。"
"P002","光电效应测普朗克常数的三种方法","9.4","core","T01;T05;T03","mapping.js;physics.js;ExperimentReport.vue;教学讲解文案","pdf_text_extracted","光电效应测普朗克常数的三种方法：支撑频率/波长、遏止电压、截止电压、逸出功或普朗克常量测定之间的关系建模。支撑伏安特性曲线、电压区段和曲线读图相关的动画与数据展示。支撑实验误差、数据处理、仪器参数或光阑/距离等操作变量的报告说明。"
"P003","在光电效应实验中用曲率法测普朗克常量","9.4","core","T05;T01;T03","VirtualLab.vue;ExperimentReport.vue;useVirtualLabController.js;报告生成","pdf_text_extracted","在光电效应实验中用曲率法测普朗克常量：支撑频率/波长、遏止电压、截止电压、逸出功或普朗克常量测定之间的关系建模。支撑伏安特性曲线、电压区段和曲线读图相关的动画与数据展示。支撑实验误差、数据处理、仪器参数或光阑/距离等操作变量的报告说明。"
"P004","爱因斯坦光电方程与光电效应实验外推法","8.5","core","T05;T01;T04","VirtualLab.vue;ExperimentReport.vue;useVirtualLabController.js;报告生成","pdf_text_extracted","爱因斯坦光电方程与光电效应实验外推法：支撑频率/波长、遏止电压、截止电压、逸出功或普朗克常量测定之间的关系建模。支撑光电管内部电子收集、本底电流、暗电流或阳极相关寄生项的解释。支撑实验误差、数据处理、仪器参数或光阑/距离等操作变量的报告说明。"
"P005","改进的光电效应测量普朗克常量外推法实验","8.6","core","T05;T01;T03","VirtualLab.vue;ExperimentReport.vue;useVirtualLabController.js;报告生成","pdf_text_extracted","改进的光电效应测量普朗克常量外推法实验：支撑频率/波长、遏止电压、截止电压、逸出功或普朗克常量测定之间的关系建模。支撑伏安特性曲线、电压区段和曲线读图相关的动画与数据展示。支撑实验误差、数据处理、仪器参数或光阑/距离等操作变量的报告说明。"
"P006","光电效应测普朗克常数新数据处理方法","8.6","core","T01;T05;T03","mapping.js;physics.js;ExperimentReport.vue;教学讲解文案","pdf_text_extracted","光电效应测普朗克常数新数据处理方法：支撑频率/波长、遏止电压、截止电压、逸出功或普朗克常量测定之间的关系建模。支撑伏安特性曲线、电压区段和曲线读图相关的动画与数据展示。支撑实验误差、数据处理、仪器参数或光阑/距离等操作变量的报告说明。"
"P007","光电效应测量普朗克常数的方法及误差分析","9.4","core","T05;T01;T03","VirtualLab.vue;ExperimentReport.vue;useVirtualLabController.js;报告生成","pdf_text_extracted","光电效应测量普朗克常数的方法及误差分析：支撑频率/波长、遏止电压、截止电压、逸出功或普朗克常量测定之间的关系建模。支撑伏安特性曲线、电压区段和曲线读图相关的动画与数据展示。支撑实验误差、数据处理、仪器参数或光阑/距离等操作变量的报告说明。"
"P008","光电效应实验分析","7.7","supporting","T01;T05;T04","mapping.js;physics.js;ExperimentReport.vue;教学讲解文案","pdf_text_extracted","光电效应实验分析：支撑频率/波长、遏止电压、截止电压、逸出功或普朗克常量测定之间的关系建模。支撑光电管内部电子收集、本底电流、暗电流或阳极相关寄生项的解释。支撑实验误差、数据处理、仪器参数或光阑/距离等操作变量的报告说明。"
"P009","光电效应实验教学中饱和光电流与入射光强成正比的实验探讨","7.2","supporting","T02;T06;T05","mapping.js;PhotoelectricAnimationPanel.vue;VirtualLab.vue;3D 微观小窗","pdf_text_extracted","光电效应实验教学中饱和光电流与入射光强成正比的实验探讨：支撑光强与光电流、饱和电流或弱光测量之间的关系表达。支撑实验误差、数据处理、仪器参数或光阑/距离等操作变量的报告说明。支撑教学流程、探究任务和概念讲解的组织方式。"
"P010","在光电效应测定普朗克常数实验中测量方法的讨论","8.6","core","T01;T05;T03","mapping.js;physics.js;ExperimentReport.vue;教学讲解文案","pdf_text_extracted","在光电效应测定普朗克常数实验中测量方法的讨论：支撑频率/波长、遏止电压、截止电压、逸出功或普朗克常量测定之间的关系建模。支撑伏安特性曲线、电压区段和曲线读图相关的动画与数据展示。支撑实验误差、数据处理、仪器参数或光阑/距离等操作变量的报告说明。"
"P011","光电效应测量普朗克常量实验的研究","8.1","core","T01;T05;T02","mapping.js;physics.js;ExperimentReport.vue;教学讲解文案","pdf_text_extracted","光电效应测量普朗克常量实验的研究：支撑频率/波长、遏止电压、截止电压、逸出功或普朗克常量测定之间的关系建模。支撑光强与光电流、饱和电流或弱光测量之间的关系表达。支撑实验误差、数据处理、仪器参数或光阑/距离等操作变量的报告说明。"
"P012","外光电法测量普朗克常量的误差分析与修正","6.8","supporting","T01;T05;T06","mapping.js;physics.js;ExperimentReport.vue;教学讲解文案","pdf_text_extracted","外光电法测量普朗克常量的误差分析与修正：支撑频率/波长、遏止电压、截止电压、逸出功或普朗克常量测定之间的关系建模。支撑实验误差、数据处理、仪器参数或光阑/距离等操作变量的报告说明。支撑教学流程、探究任务和概念讲解的组织方式。"
"P013","趋近平均法测量普朗克常量","8.6","core","T05;T01;T03","VirtualLab.vue;ExperimentReport.vue;useVirtualLabController.js;报告生成","pdf_text_extracted","趋近平均法测量普朗克常量：支撑频率/波长、遏止电压、截止电压、逸出功或普朗克常量测定之间的关系建模。支撑伏安特性曲线、电压区段和曲线读图相关的动画与数据展示。支撑实验误差、数据处理、仪器参数或光阑/距离等操作变量的报告说明。"
"P014","光电效应法测量普朗克常数的数据处理及误差分析","7.7","supporting","T01;T05;T04","mapping.js;physics.js;ExperimentReport.vue;教学讲解文案","pdf_text_extracted","光电效应法测量普朗克常数的数据处理及误差分析：支撑频率/波长、遏止电压、截止电压、逸出功或普朗克常量测定之间的关系建模。支撑光电管内部电子收集、本底电流、暗电流或阳极相关寄生项的解释。支撑实验误差、数据处理、仪器参数或光阑/距离等操作变量的报告说明。"
"P015","运用Matlab辅助测量普朗克常量","6.8","supporting","T05;T01","VirtualLab.vue;ExperimentReport.vue;useVirtualLabController.js;报告生成","pdf_text_extracted","运用Matlab辅助测量普朗克常量：支撑频率/波长、遏止电压、截止电压、逸出功或普朗克常量测定之间的关系建模。支撑实验误差、数据处理、仪器参数或光阑/距离等操作变量的报告说明。"
"P016","光电效应实验仪器及实验方法的改进","8.6","core","T05;T03;T01","VirtualLab.vue;ExperimentReport.vue;useVirtualLabController.js;报告生成","pdf_text_extracted","光电效应实验仪器及实验方法的改进：支撑频率/波长、遏止电压、截止电压、逸出功或普朗克常量测定之间的关系建模。支撑伏安特性曲线、电压区段和曲线读图相关的动画与数据展示。支撑实验误差、数据处理、仪器参数或光阑/距离等操作变量的报告说明。"
"P017","基于MATLAB的普朗克常数测定的数据处理","6.8","supporting","T01;T05","mapping.js;physics.js;ExperimentReport.vue;教学讲解文案","pdf_text_extracted","基于MATLAB的普朗克常数测定的数据处理：支撑频率/波长、遏止电压、截止电压、逸出功或普朗克常量测定之间的关系建模。支撑实验误差、数据处理、仪器参数或光阑/距离等操作变量的报告说明。"
"P018","光电效应实验中截止电压随光强变化原因的探索","8","core","T01;T02;T04","mapping.js;physics.js;ExperimentReport.vue;教学讲解文案","pdf_text_extracted","光电效应实验中截止电压随光强变化原因的探索：支撑频率/波长、遏止电压、截止电压、逸出功或普朗克常量测定之间的关系建模。支撑光强与光电流、饱和电流或弱光测量之间的关系表达。支撑光电管内部电子收集、本底电流、暗电流或阳极相关寄生项的解释。"
"P019","基于自制暗箱测量光电效应中光强与光电流的关系","9","core","T02;T03;T05","mapping.js;PhotoelectricAnimationPanel.vue;VirtualLab.vue;3D 微观小窗","pdf_text_extracted","基于自制暗箱测量光电效应中光强与光电流的关系：支撑光强与光电流、饱和电流或弱光测量之间的关系表达。支撑伏安特性曲线、电压区段和曲线读图相关的动画与数据展示。支撑实验误差、数据处理、仪器参数或光阑/距离等操作变量的报告说明。"
"P020","Origin软件在普朗克常量测定实验中的应用","8.6","core","T05;T01;T03","VirtualLab.vue;ExperimentReport.vue;useVirtualLabController.js;报告生成","pdf_text_extracted","Origin软件在普朗克常量测定实验中的应用：支撑频率/波长、遏止电压、截止电压、逸出功或普朗克常量测定之间的关系建模。支撑伏安特性曲线、电压区段和曲线读图相关的动画与数据展示。支撑实验误差、数据处理、仪器参数或光阑/距离等操作变量的报告说明。"
"P021","光电效应实验中阳极光电流的测量","8","core","T01;T02;T04","mapping.js;physics.js;ExperimentReport.vue;教学讲解文案","pdf_text_extracted","光电效应实验中阳极光电流的测量：支撑频率/波长、遏止电压、截止电压、逸出功或普朗克常量测定之间的关系建模。支撑光强与光电流、饱和电流或弱光测量之间的关系表达。支撑光电管内部电子收集、本底电流、暗电流或阳极相关寄生项的解释。"
"P022","光电效应实验中光阑大小对实验结果影响的探讨","7.7","supporting","T05;T01;T04","VirtualLab.vue;ExperimentReport.vue;useVirtualLabController.js;报告生成","pdf_text_extracted","光电效应实验中光阑大小对实验结果影响的探讨：支撑频率/波长、遏止电压、截止电压、逸出功或普朗克常量测定之间的关系建模。支撑光电管内部电子收集、本底电流、暗电流或阳极相关寄生项的解释。支撑实验误差、数据处理、仪器参数或光阑/距离等操作变量的报告说明。"
"P023","光阑大小和光电管接收距离对实验结果影响分析","7.7","supporting","T05;T01;T04","VirtualLab.vue;ExperimentReport.vue;useVirtualLabController.js;报告生成","pdf_text_extracted","光阑大小和光电管接收距离对实验结果影响分析：支撑频率/波长、遏止电压、截止电压、逸出功或普朗克常量测定之间的关系建模。支撑光电管内部电子收集、本底电流、暗电流或阳极相关寄生项的解释。支撑实验误差、数据处理、仪器参数或光阑/距离等操作变量的报告说明。"
"P024","光电效应实验理论及本底电流分析","7.7","supporting","T01;T04;T05","mapping.js;physics.js;ExperimentReport.vue;教学讲解文案","pdf_text_extracted","光电效应实验理论及本底电流分析：支撑频率/波长、遏止电压、截止电压、逸出功或普朗克常量测定之间的关系建模。支撑光电管内部电子收集、本底电流、暗电流或阳极相关寄生项的解释。支撑实验误差、数据处理、仪器参数或光阑/距离等操作变量的报告说明。"
"P025","光电效应伏安特性实验改进研究","9.3","core","T03;T05;T02","voltAmpTrajectory.js;engine.js;PhotoelectricAnimationPanel.vue;IntegratedPlotPanel.vue","pdf_text_extracted","光电效应伏安特性实验改进研究：支撑光强与光电流、饱和电流或弱光测量之间的关系表达。支撑伏安特性曲线、电压区段和曲线读图相关的动画与数据展示。支撑实验误差、数据处理、仪器参数或光阑/距离等操作变量的报告说明。"
"P026","光阑对普朗克常量测定影响的分析","8.1","core","T01;T05;T02","mapping.js;physics.js;ExperimentReport.vue;教学讲解文案","pdf_text_extracted","光阑对普朗克常量测定影响的分析：支撑频率/波长、遏止电压、截止电压、逸出功或普朗克常量测定之间的关系建模。支撑光强与光电流、饱和电流或弱光测量之间的关系表达。支撑实验误差、数据处理、仪器参数或光阑/距离等操作变量的报告说明。"
"P027","光电效应实验的影响因素及误差分析","8.9","core","T05;T01;T02","VirtualLab.vue;ExperimentReport.vue;useVirtualLabController.js;报告生成","pdf_text_extracted","光电效应实验的影响因素及误差分析：支撑频率/波长、遏止电压、截止电压、逸出功或普朗克常量测定之间的关系建模。支撑光强与光电流、饱和电流或弱光测量之间的关系表达。支撑实验误差、数据处理、仪器参数或光阑/距离等操作变量的报告说明。"
"P028","基于物理核心素养的“光电效应”实验教学探索","7.3","supporting","T06;T01;T05","PrincipleAnimationSection.vue;PhotoelectricEffectGraph.vue;AIAssistant.vue;README.md","pdf_text_extracted","基于物理核心素养的“光电效应”实验教学探索：支撑频率/波长、遏止电压、截止电压、逸出功或普朗克常量测定之间的关系建模。支撑实验误差、数据处理、仪器参数或光阑/距离等操作变量的报告说明。支撑教学流程、探究任务和概念讲解的组织方式。"
"P029","基于光电效应的普朗克常数的测定与分析","8.1","core","T01;T05;T02","mapping.js;physics.js;ExperimentReport.vue;教学讲解文案","pdf_text_extracted","基于光电效应的普朗克常数的测定与分析：支撑频率/波长、遏止电压、截止电压、逸出功或普朗克常量测定之间的关系建模。支撑光强与光电流、饱和电流或弱光测量之间的关系表达。支撑实验误差、数据处理、仪器参数或光阑/距离等操作变量的报告说明。"
"P030","光电管中光电流与电压之间的关系问题","7.2","supporting","T03;T04;T02","voltAmpTrajectory.js;engine.js;PhotoelectricAnimationPanel.vue;IntegratedPlotPanel.vue","metadata_only_for_caj","光电管中光电流与电压之间的关系问题：支撑光强与光电流、饱和电流或弱光测量之间的关系表达。支撑伏安特性曲线、电压区段和曲线读图相关的动画与数据展示。支撑光电管内部电子收集、本底电流、暗电流或阳极相关寄生项的解释。"
"P031","光电效应的伏安特性曲线","9.1","core","T03;T05;T01","voltAmpTrajectory.js;engine.js;PhotoelectricAnimationPanel.vue;IntegratedPlotPanel.vue","pdf_text_extracted","光电效应的伏安特性曲线：支撑频率/波长、遏止电压、截止电压、逸出功或普朗克常量测定之间的关系建模。支撑伏安特性曲线、电压区段和曲线读图相关的动画与数据展示。支撑实验误差、数据处理、仪器参数或光阑/距离等操作变量的报告说明。"
"P032","光电效应伏安特性曲线的几个细节问题","9.8","core","T03;T01;T04","voltAmpTrajectory.js;engine.js;PhotoelectricAnimationPanel.vue;IntegratedPlotPanel.vue","pdf_text_extracted","光电效应伏安特性曲线的几个细节问题：支撑频率/波长、遏止电压、截止电压、逸出功或普朗克常量测定之间的关系建模。支撑伏安特性曲线、电压区段和曲线读图相关的动画与数据展示。支撑光电管内部电子收集、本底电流、暗电流或阳极相关寄生项的解释。"
